,DAA Metcalfe Price,Wlt Metcalfe Price
2011-05-31,49.00346768614847,
2011-06-01,49.025457373132134,
2011-06-02,49.96916288633234,
2011-06-03,51.36137483367118,
2011-06-04,52.45254701782416,
2011-06-05,51.263876102799955,
2011-06-06,53.109938548364056,
2011-06-07,52.094993091223714,
2011-06-08,55.9068989024593,
2011-06-09,55.43657827738759,
2011-06-10,54.550307950126715,
2011-06-11,54.319828496771876,
2011-06-12,55.78517720940311,
2011-06-13,54.86302206042437,
2011-06-14,56.733419911595995,
2011-06-15,55.85919176686038,
2011-06-16,56.24269832211707,
2011-06-17,55.307519209735496,
2011-06-18,55.05539487721663,
2011-06-19,55.850529746755406,
2011-06-20,54.859274665113475,
2011-06-21,54.69722633427436,
2011-06-22,55.3299644199248,
2011-06-23,54.16723304840712,
2011-06-24,54.727965593117105,
2011-06-25,53.404699689019914,
2011-06-26,54.0884384425523,
2011-06-27,56.552824566567196,
2011-06-28,54.81803813361814,
2011-06-29,54.16310139987487,
2011-06-30,53.60696771199129,
2011-07-01,56.55820448474814,
2011-07-02,57.1775467470376,
2011-07-03,52.99013912617639,
2011-07-04,53.82127977865514,
2011-07-05,53.72196934660688,
2011-07-06,54.99784948643918,
2011-07-07,53.228845204572636,
2011-07-08,54.26944189959579,
2011-07-09,53.07375168327774,
2011-07-10,56.022528241325006,
2011-07-11,54.422958439094856,
2011-07-12,53.48598603553214,
2011-07-13,55.12006103517827,
2011-07-14,55.78622102881736,
2011-07-15,54.14064271421398,
2011-07-16,53.600037433718775,
2011-07-17,54.00730194926532,
2011-07-18,55.308253674995804,
2011-07-19,54.29022287843304,
2011-07-20,54.323023818975095,
2011-07-21,54.27487071230035,
2011-07-22,53.84775453445554,
2011-07-23,52.494292959274006,
2011-07-24,53.58841392750597,
2011-07-25,54.809171313048,
2011-07-26,53.295551801861535,
2011-07-27,53.47632789322018,
2011-07-28,54.41004234305283,
2011-07-29,52.873816299245824,
2011-07-30,51.289260063643404,
2011-07-31,53.77579882785813,
2011-08-01,53.72554065518843,
2011-08-02,52.01770863950676,
2011-08-03,50.848242463854504,
2011-08-04,51.1863597832073,
2011-08-05,52.48587479491378,
2011-08-06,51.3039783464552,
2011-08-07,51.62293994565493,
2011-08-08,53.76443000907393,
2011-08-09,53.273819238259456,
2011-08-10,51.21263217793135,
2011-08-11,50.600114023882234,
2011-08-12,50.09752055213581,
2011-08-13,51.32843548349624,
2011-08-14,52.10608493655971,
2011-08-15,50.927831404435736,
2011-08-16,51.98189476420541,
2011-08-17,51.80351162877911,
2011-08-18,51.92795830025839,
2011-08-19,52.44660670429336,
2011-08-20,52.070871650236874,
2011-08-21,52.63252818876663,
2011-08-22,53.89297215445227,
2011-08-23,52.66113473866478,
2011-08-24,52.70767076080165,
2011-08-25,52.91020651700206,
2011-08-26,52.04460175948325,
2011-08-27,52.019203917095325,
2011-08-28,50.52395560581927,
2011-08-29,50.76019011901093,
2011-08-30,49.91597357834666,
2011-08-31,49.80740410749112,
2011-09-01,49.47131437686926,
2011-09-02,49.32865466010716,
2011-09-03,48.02104501391049,
2011-09-04,50.16794795946008,
2011-09-05,50.36871449802914,
2011-09-06,50.73333811733953,
2011-09-07,49.591772382495506,
2011-09-08,48.968455558038954,
2011-09-09,50.43380254882057,
2011-09-10,49.16304089154349,
2011-09-11,48.89479111407012,
2011-09-12,48.98894361824898,
2011-09-13,48.389481969303226,
2011-09-14,48.53424898466482,
2011-09-15,48.71283903491154,
2011-09-16,48.05779699440727,
2011-09-17,46.9591540634181,
2011-09-18,47.860516358783975,
2011-09-19,49.31869448510503,
2011-09-20,51.998225153653,
2011-09-21,50.34088948623787,
2011-09-22,49.88124366765815,
2011-09-23,50.82778056688417,
2011-09-24,51.05440603766088,
2011-09-25,51.08477912271592,
2011-09-26,49.94250400733186,
2011-09-27,50.404958084949286,
2011-09-28,47.525971810765256,
2011-09-29,46.481904995228454,
2011-09-30,47.418151472537474,
2011-10-01,47.17951076104758,
2011-10-02,46.11370749122814,
2011-10-03,47.690711627813954,
2011-10-04,47.230492082318555,
2011-10-05,47.30034725755962,
2011-10-06,48.10170235881498,
2011-10-07,47.39705516594157,
2011-10-08,46.45973413993776,
2011-10-09,46.50745324583857,
2011-10-10,47.30246234200789,
2011-10-11,47.54611186967165,
2011-10-12,47.208042960010225,
2011-10-13,45.67654050772658,
2011-10-14,48.08242600966262,
2011-10-15,46.936697763743055,
2011-10-16,46.14981791229813,
2011-10-17,47.955443673857054,
2011-10-18,46.627562819570485,
2011-10-19,46.39866453662025,
2011-10-20,45.395938427786966,
2011-10-21,46.13055952905917,
2011-10-22,46.801582692745306,
2011-10-23,47.02458094829458,
2011-10-24,47.37020595376675,
2011-10-25,46.784569919120216,
2011-10-26,46.80556139759488,
2011-10-27,45.924611292004066,
2011-10-28,46.1281229586975,
2011-10-29,47.021497343134534,
2011-10-30,45.23986342277781,
2011-10-31,46.2917075568462,
2011-11-01,46.86003165279635,
2011-11-02,47.20872309467394,
2011-11-03,47.088025423638655,
2011-11-04,48.45916831747411,
2011-11-05,47.17225335315318,
2011-11-06,45.653349307703415,
2011-11-07,46.9436204753127,
2011-11-08,47.24252669532347,
2011-11-09,48.15629256266804,
2011-11-10,47.551462211097174,
2011-11-11,46.448919340003044,
2011-11-12,45.74456301940514,
2011-11-13,46.96828921346982,
2011-11-14,47.05045787884662,
2011-11-15,48.05264165393832,
2011-11-16,46.96793979237422,
2011-11-17,46.35122702417975,
2011-11-18,46.348637836632726,
2011-11-19,44.64856846568572,
2011-11-20,45.36124293088963,
2011-11-21,44.882633272981586,
2011-11-22,45.74635741525643,
2011-11-23,45.64641294754744,
2011-11-24,45.32725595746682,
2011-11-25,45.76636095155012,
2011-11-26,44.71925755854089,
2011-11-27,45.197268372211774,
2011-11-28,46.63224972247316,
2011-11-29,48.080538149779976,12.814669152056378
2011-11-30,48.355774025126685,12.814669152056378
2011-12-01,47.743035591080016,12.814669152056378
2011-12-02,46.83175957665564,12.814669152056378
2011-12-03,46.965118515483326,12.814669152056378
2011-12-04,45.852760627086724,12.814669152056378
2011-12-05,47.15096632321696,12.814669152056378
2011-12-06,48.33460929651255,12.814669152056378
2011-12-07,46.9752864507932,12.814669152056378
2011-12-08,47.66599429540678,12.814669152056378
2011-12-09,45.880051845576965,12.814669152056378
2011-12-10,46.14904660169399,12.814669152056378
2011-12-11,46.08247593032288,12.814669152056378
2011-12-12,45.73630023942496,12.814669152056378
2011-12-13,46.10892506833931,12.814669152056378
2011-12-14,46.165989037083456,25.095000631255978
2011-12-15,44.865557190633616,25.095243747168443
2011-12-16,44.97748752798351,25.09550929454414
2011-12-17,44.47626496547933,25.09586077980243
2011-12-18,44.47522984915819,25.096212860090994
2011-12-19,46.65013365611957,25.09661827870583
2011-12-20,47.52716631128795,25.09697352197043
2011-12-21,45.95567236429258,25.09738309417509
2011-12-22,46.31067046509017,25.09780508744198
2011-12-23,45.96999708028159,25.098224174432765
2011-12-24,44.806465679467706,25.09866645678487
2011-12-25,46.05064449444155,25.099216309960077
2011-12-26,46.39263244782487,25.09979702089203
2011-12-27,45.88016629784721,25.100288797778408
2011-12-28,45.43282930356814,25.100830466408812
2011-12-29,45.499209129777746,28.82537193674498
2011-12-30,44.924433965811744,28.826097719835456
2011-12-31,45.38773640122545,28.826890512833177
2012-01-01,45.78944929947463,28.827715879207485
2012-01-02,46.27701670571693,28.828552226616736
2012-01-03,46.90614587494262,28.829456244561918
2012-01-04,46.784594349437086,28.83032514246371
2012-01-05,48.56540534586883,28.831202973646405
2012-01-06,48.01740699412666,28.832249847758277
2012-01-07,47.55296685338721,28.83340718789407
2012-01-08,48.0423217277902,28.834459160635113
2012-01-09,48.52387246276943,28.83554290532881
2012-01-10,48.688466608686745,28.836494952389252
2012-01-11,49.55202695132035,28.83754923641191
2012-01-12,47.74883900166306,28.838639801808185
2012-01-13,47.907644712573166,31.508404915217497
2012-01-14,48.15446079258295,31.50973384629464
2012-01-15,47.29989265834924,31.510988233039235
2012-01-16,48.279126631454055,31.512598820143054
2012-01-17,48.30132872494741,31.51407344380236
2012-01-18,47.89290096931693,31.515296455150573
2012-01-19,48.5184681233129,31.516753391852756
2012-01-20,47.79519709902508,31.518186037590205
2012-01-21,47.37345614708156,31.51983523110918
2012-01-22,45.88328419101081,31.521226074433876
2012-01-23,47.39789790070257,31.522994201025057
2012-01-24,48.545539377592604,31.5244640888758
2012-01-25,49.46868066770705,31.526053462570538
2012-01-26,47.63127334791434,31.52755770452181
2012-01-27,48.01380904320112,31.529116839672483
2012-01-28,47.243836865536124,33.97036254060804
2012-01-29,47.94968015576335,33.97258287597993
2012-01-30,47.33613114721855,33.974908457359106
2012-01-31,48.988061989109326,33.97696856171923
2012-02-01,48.55428120544984,33.978932116810356
2012-02-02,48.89773714372645,33.981177868050544
2012-02-03,49.74498855429958,33.983442561099366
2012-02-04,49.12322853898285,33.98572559653286
2012-02-05,48.29197208204074,33.9878185264617
2012-02-06,47.933380054996654,33.989998145430604
2012-02-07,48.14056756182824,33.9920689683513
2012-02-08,48.37439043942073,33.99428767072443
2012-02-09,48.41445223151268,33.996534085177686
2012-02-10,49.63000560803639,33.99869777281525
2012-02-11,48.47432861497996,34.001078040291084
2012-02-12,47.88940153698222,35.78953117944252
2012-02-13,49.49347169163831,35.79199964796199
2012-02-14,50.75382338272903,35.7945138189586
2012-02-15,50.478802951315345,35.79698169126739
2012-02-16,50.192988158976135,35.79955055179648
2012-02-17,48.03063718483781,35.80241220047086
2012-02-18,48.11888239285257,35.805671817360505
2012-02-19,47.332997871237666,35.808721504831674
2012-02-20,48.45913015267904,35.81145415426465
2012-02-21,48.155859146714356,35.813997372744495
2012-02-22,49.29247063099786,35.81716538876574
2012-02-23,50.47659299054064,35.820512164538364
2012-02-24,49.39169675824997,35.823550372262666
2012-02-25,48.507533714640445,35.82695254904678
2012-02-26,47.38050317792305,35.830079829004156
2012-02-27,48.84176700151694,37.00023871588042
2012-02-28,49.30096219618888,37.00386708717912
2012-02-29,49.00344253228075,37.00797335750493
2012-03-01,49.34537740912443,37.01147592329599
2012-03-02,50.43034841939582,37.014613754989334
2012-03-03,46.84905767583222,37.01728145476984
2012-03-04,48.40840095547401,37.020542292626395
2012-03-05,49.477424912248914,37.024025232080156
2012-03-06,48.92008539549843,37.02734591835483
2012-03-07,48.82150722334442,37.031113410824865
2012-03-08,49.061992674437235,37.03496730082809
2012-03-09,49.33207657801905,37.039159817429635
2012-03-10,47.37396185246323,37.0433200389999
