,Preço,Preço Realizado,Preço de NVT,Custos Evitados,Preço de Metcalfe,Preço de Estoque-Fluxo
2011-11-29,2.75769848275862,4.88977712854186,2.768814720813313,3.5401482803883857,12.814669152056377,4.3268793512341315
2011-11-30,2.9660415458796,4.905103021439788,2.834604198758083,3.5633576641494105,12.814669152056377,4.359472262364706
2011-12-01,3.08258945002922,4.910057241825356,2.93941539002738,3.589234339004693,12.814669152056377,4.389865055280822
2011-12-02,3.10040233313852,4.90929892669223,2.987964324507563,3.6257622099169176,12.814669152056377,4.425308178453126
2011-12-03,2.8038561852717696,4.885002782987701,2.9999629737308346,3.6664331075832384,12.814669152056377,4.459920714069686
2011-12-04,2.81969397603741,4.883833421027008,3.0111008045255816,3.7134615064645526,12.814669152056377,4.493582630844205
2011-12-05,2.87479622735242,4.880742389186987,3.0581730150443915,3.758743287281428,12.814669152056377,4.505540741379045
2011-12-06,3.02536045149036,4.886569144924892,3.103258145790254,3.7853278145665183,12.814669152056377,4.522401311615817
2011-12-07,2.98550242109877,4.856500799848288,3.1513989705037186,3.8055465184007318,12.814669152056377,4.543373865932
2011-12-08,2.99188048305085,4.856527781158074,3.1998722494632803,3.836777215024109,12.814669152056377,4.55301512175573
2011-12-09,2.95579195207481,4.852332046405868,3.2120054551160147,3.869245024295811,12.814669152056377,4.572716228476485
2011-12-10,3.0689752670952704,4.853256913836449,3.218346348386312,3.9021117033353,12.814669152056377,4.599197262200143
2011-12-11,3.2492688471654,4.862253126905801,3.2206031047477968,3.957034453963495,12.814669152056377,4.618799871366035
2011-12-12,3.1873353565166607,4.862635722358894,3.2222375374177736,4.01133143404603,12.814669152056377,4.64064202183665
2011-12-13,3.24108840853302,4.862078856854467,3.2397500351530715,4.070950421630416,12.814669152056377,4.660524536539082
2011-12-14,3.1550865043834,4.852885539099908,3.2397500351530715,4.088356010574416,25.095000631255974,4.683001877230598
2011-12-15,3.20313854061952,4.852919659737396,3.2594895071851155,4.103869698714696,25.095243747168446,4.705742964275814
2011-12-16,3.2091377773232,4.852457160249957,3.2747079104358994,4.116454582697642,25.09550929454414,4.737175200511795
2011-12-17,3.19254170426651,4.850031403016073,3.2747079104358994,4.119329626818666,25.095860779802432,4.753488430870142
2011-12-18,3.1940108088836903,4.847796206840981,3.2747079104358994,4.122163407179933,25.096212860090994,4.767701295696994
2011-12-19,3.52577391934541,4.856347999815564,3.297390470731252,4.12339231600974,25.096618278705826,4.780272277139471
2011-12-20,3.95255082729398,4.8730291085419815,3.311933324931636,4.114442001170833,25.09697352197043,4.802202183917358
2011-12-21,3.88899325073057,4.877119301050118,3.3302295478016166,4.109168354392568,25.09738309417509,4.815696424285413
2011-12-22,3.9030604205143193,4.88148257286605,3.364042964039739,4.1086731893047785,25.09780508744198,4.834918205287642
2011-12-23,3.9379650759789597,4.885388656910648,3.364042964039739,4.111832293234862,25.098224174432765,4.856000565758017
2011-12-24,3.93941911864407,4.88399968799307,3.364042964039739,4.114677042071023,25.098666456784873,4.875596883016594
2011-12-25,4.23386687784921,4.883707222924193,3.364042964039739,4.1196548684988965,25.09921630996008,4.891445929172829
2011-12-26,3.9991219640561098,4.884756965224559,3.3847560488300905,4.12599059446059,25.099797020892034,4.904945585681247
2011-12-27,4.0955185458796,4.887637110743922,3.385065846700763,4.138840529600163,25.10028879777841,4.9290010815740635
2011-12-28,4.207295876095849,4.89179626468013,3.385065846700763,4.1809764134688105,25.100830466408812,4.9498342547122745
2011-12-29,4.17335222676797,4.892052657617343,3.416841666930163,4.2077836958330055,28.825371936744983,4.968498034633206
2011-12-30,4.31063509000584,4.896172644965984,3.416841666930163,4.231724058416403,28.826097719835452,4.982443674497821
2011-12-31,4.714306331385151,4.905068531222692,3.4512410996427687,4.245566493086288,28.826890512833177,4.998412587863976
2012-01-01,5.2948427773232005,4.9197759437834865,3.488391350811942,4.263868001687652,28.82771587920748,5.010508956816299
2012-01-02,5.2048778918761,4.913505370774391,3.537523737906713,4.2862577622203,28.828552226616736,5.029287670434977
2012-01-03,4.870508828755111,4.91649132193466,3.5608954163885214,4.305642528374502,28.82945624456192,5.048380255534371
2012-01-04,5.585706267095269,4.938205058126312,3.574852226474757,4.3169210239802185,28.830325142463714,5.0673470331286525
2012-01-05,6.874000877264759,4.998368735671991,3.582397176592266,4.321482905860776,28.831202973646405,5.086446761975649
2012-01-06,6.683316639976621,5.025358805287073,3.5886766882676904,4.328704576002344,28.832249847758284,5.104142928688153
2012-01-07,6.79622798071303,5.040776646839828,3.6147516604492136,4.335651054001039,28.83340718789407,5.118168495997543
2012-01-08,7.09665056633548,5.062157245375614,3.638828305980819,4.337898092133814,28.834459160635113,5.1418645587725536
2012-01-09,6.28853834248977,5.077171800722726,3.6449668317209243,4.33284397329622,28.835542905328808,5.163497437727663
2012-01-10,6.5284745552308605,5.079387461573257,3.6551272387587037,4.324815754334597,28.83649495238925,5.182549311275677
2012-01-11,6.889127721215661,5.095629084276621,3.6714025076175156,4.319282723136894,28.83754923641191,5.204326150744801
2012-01-12,6.77356419579194,5.122539874650001,3.705880075535398,4.309233946451402,28.838639801808185,5.227821327520834
2012-01-13,6.454368890122731,5.129080207336053,3.73361018481712,4.319939040088495,31.508404915217493,5.242658821299126
2012-01-14,6.76172714260666,5.141350751061425,3.756194523767795,4.325090065479354,31.50973384629464,5.263758687310065
2012-01-15,7.0469225581531205,5.149412395103046,3.790122810472065,4.322750559944251,31.510988233039235,5.291900028523775
